date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2021-03-11,523.06,4714500,535.214,534.203,44.409,-8.321,-4.384,1.19,454.395,10.996,0.025,-286028000.0,1
2021-03-12,518.02,3981700,533.235,533.946,44.818,-8.03,-5.113,1.19,454.395,10.89,0.025,-286028000.0,0
2021-03-15,520.25,3484300,531.422,533.859,40.875,-7.533,-5.597,1.19,454.395,10.937,0.025,-286028000.0,1
2021-03-16,524.03,3238900,529.759,533.525,39.389,-6.755,-5.829,1.19,454.395,11.016,0.025,-286028000.0,1
2021-03-17,524.44,2817400,528.414,533.557,41.577,-6.037,-5.87,1.19,454.395,11.025,0.025,-286028000.0,1
2021-03-18,504.79,4094500,526.243,533.237,38.169,-6.973,-6.091,1.19,454.395,10.612,0.025,-286028000.0,0
2021-03-19,512.18,4386400,524.84,533.471,36.219,-7.037,-6.28,1.19,454.395,10.767,0.025,-286028000.0,1
2021-03-22,523.11,3360600,524.307,533.755,41.632,-6.135,-6.251,1.19,454.395,10.997,0.025,-286028000.0,1
2021-03-23,535.09,5583500,523.754,534.249,55.43,-4.403,-5.881,1.19,454.395,11.248,0.025,-286028000.0,1
2021-03-24,520.81,4102200,522.124,534.683,53.465,-4.135,-5.532,1.19,454.395,10.948,0.025,-286028000.0,0
2021-03-25,502.86,4926800,519.932,534.855,45.497,-5.309,-5.487,1.19,454.395,10.571,0.025,-286028000.0,0
2021-03-26,508.05,3467800,518.392,534.86,55.561,-5.755,-5.541,1.19,454.395,10.68,0.025,-286028000.0,1
2021-03-29,513.95,3330000,516.558,535.122,53.0,-5.568,-5.546,1.19,454.395,10.804,0.025,-286028000.0,1
2021-03-30,513.39,2418100,514.836,535.43,53.574,-5.403,-5.518,1.19,454.395,10.792,0.025,-286028000.0,0
2021-03-31,521.66,3503100,514.884,535.828,49.384,-4.552,-5.325,3.75,139.109,10.966,0.079,696265000.0,1
2021-04-01,539.42,3938600,516.29,534.89,58.473,-2.417,-4.743,3.75,139.109,11.339,0.079,696265000.0,1
2021-04-05,540.67,3355900,517.504,534.106,58.148,-0.617,-3.918,3.75,139.109,11.366,0.079,696265000.0,1
2021-04-06,544.53,3474200,520.065,533.694,58.175,1.108,-2.913,3.75,139.109,11.447,0.079,696265000.0,1
