date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count
2021-11-22,659.2,2764400,671.504,637.356,44.076,10.37,12.505,3.19,13.857473197393317,191.32915360501568,0.0670590708429682,-84948000.0,-0.0772,-21,272
2021-11-23,654.06,2320200,670.781,638.882,38.657,8.161,11.636,3.19,13.749421904561697,191.32915360501568,0.0670590708429682,-84948000.0,-0.0913,-24,263
2021-11-24,658.29,1867300,670.55,640.39,46.262,6.674,10.644,3.19,13.838343493798613,191.32915360501568,0.0670590708429682,-84948000.0,-0.0687,-16,233
2021-11-26,665.64,2872500,670.129,641.973,58.307,6.02,9.719,3.19,13.992852638217364,191.32915360501568,0.0670590708429682,-84948000.0,-0.0873,-29,332
2021-11-29,663.84,2529400,668.806,643.463,55.342,5.295,8.834,3.19,13.955013664073997,191.32915360501568,0.0670590708429682,-84948000.0,-0.0871,-21,241
2021-11-30,641.9,5608900,666.842,644.792,44.718,2.916,7.651,3.19,13.493798612570949,191.32915360501568,0.0670590708429682,-84948000.0,-0.0619,-21,339
2021-12-01,617.77,3882800,663.844,645.685,40.183,-0.905,5.939,3.19,12.986546142526802,191.32915360501568,0.0670590708429682,-84948000.0,-0.0969,-31,320
2021-12-02,616.47,3331100,660.254,646.201,35.218,-3.993,3.953,3.19,12.95921799453437,191.32915360501568,0.0670590708429682,-84948000.0,-0.1157,-28,242
2021-12-03,602.13,4829300,656.94,646.378,18.651,-7.51,1.66,3.19,12.65776750052554,191.32915360501568,0.0670590708429682,-84948000.0,-0.1522,-44,289
2021-12-06,612.69,3075700,655.288,646.784,25.435,-9.338,-0.539,3.19,12.8797561488333,191.32915360501568,0.0670590708429682,-84948000.0,-0.097,-26,268
2021-12-07,625.58,3125200,653.995,647.443,27.994,-9.636,-2.359,3.19,13.150725247004416,191.32915360501568,0.0670590708429682,-84948000.0,-0.035,-11,314
2021-12-08,628.08,2220300,652.6,648.328,27.064,-9.559,-3.799,3.19,13.203279377759092,191.32915360501568,0.0670590708429682,-84948000.0,-0.0506,-12,237
2021-12-09,611.0,2376300,650.804,648.567,25.691,-10.753,-5.19,3.19,12.844229556443135,191.32915360501568,0.0670590708429682,-84948000.0,-0.153,-28,183
2021-12-10,611.66,2748800,648.508,648.593,26.61,-11.513,-6.454,3.19,12.85810384696237,191.32915360501568,0.0670590708429682,-84948000.0,-0.1505,-31,206
2021-12-13,604.56,2517900,644.606,648.421,29.148,-12.544,-7.672,3.19,12.708850115619086,191.32915360501568,0.0670590708429682,-84948000.0,-0.0725,-19,262
